,setting,clusterCoef,lambda,mu,sigma,a,b,c
86,10000_11_0.5,0.09588118916275806,0.09,0.82,0.73,0.7481704731945569,0.7054760022072304,0.45593540546758204
87,10000_11_0.6000000000000001,0.10912594217282187,0.1,1.43,0.99,0.6545412619786501,0.6869255127418482,0.4309454849483965
88,10000_11_0.7000000000000001,0.12492099536393009,0.1,2.15,1.36,0.5946605568782805,0.705009640828165,0.3983660964130569
89,10000_11_0.8,0.14275779641533448,0.09,3.01,1.94,0.5657863918094072,0.7425827319557274,0.36739347835737746
90,10000_12_0.0,0.012643483786346651,0.06,-0.03,0.01,0.3082114318237263,0.21423460092700072,0.6127355246372082
91,10000_12_0.1,0.029113453787134962,0.06,-0.02,0.01,0.577226934905621,0.29878438608599417,0.6120025049408332
92,10000_12_0.2,0.047244972306321374,0.06,-0.02,0.01,0.7458536977717571,0.4559119930703205,0.5595502516211489
93,10000_12_0.30000000000000004,0.06245087123926879,0.07,-0.04,0.02,0.7969547484429844,0.5828860419832445,0.5169780453965316
94,10000_12_0.4,0.07736443135820832,0.08,0.45,0.57,0.7863475719179391,0.6759338480566773,0.47790518708587976
95,10000_12_0.5,0.0883606502216305,0.09,0.91,0.76,0.7114937487873513,0.6817469357848973,0.4525054572037164
96,10000_12_0.6000000000000001,0.10357376233118135,0.08,1.42,0.96,0.6483751848609782,0.7187150538998932,0.4146110703056225
97,10000_12_0.7000000000000001,0.11505217507132691,0.09,2.22,1.39,0.5869777818091243,0.7012146969155031,0.39569774190008294
98,10000_12_0.8,0.13362543835646523,0.08,3.07,1.95,0.5394457995559928,0.7332541453922781,0.35907655438527536
99,20000_2_0.0,0.0026791324317341557,0.72,-0.0,0.0,-1.4575193119301633,0.003919554054424876,0.929506431803826
100,20000_2_0.1,0.0751656930801619,1.53,-0.0,0.0,1.4960304814384504,0.0502902551602616,0.9346041442856781
101,20000_2_0.2,0.14897872563045358,1.18,-0.0,0.0,1.628085156068867,0.10899000346129147,0.8975238272806338
102,20000_2_0.30000000000000004,0.21909025322662615,0.89,-0.0,0.0,1.5261374638115535,0.1699490182436303,0.8549890096969426
103,20000_2_0.4,0.2939336786122366,0.71,-0.0,0.0,1.4043249319401376,0.21333937741472433,0.8210665608634469
104,20000_2_0.5,0.3666302623688322,0.63,0.1,0.43,1.2264174902255054,0.22170679432712787,0.7969998717538818
105,20000_2_0.6000000000000001,0.4408091072123584,0.61,0.29,0.5,1.2480398472846346,0.2765239369565829,0.7689505387354828
106,20000_2_0.7000000000000001,0.5171126817970617,0.54,0.45,0.53,1.1579528082287476,0.3038419022451426,0.7415882606704063
107,20000_2_0.8,0.5996386429538946,0.5,0.56,0.49,1.0535109516770265,0.3178582635457919,0.7181629215306209
108,20000_3_0.0,0.0030417710919380804,0.32,-0.0,0.0,-0.2971391000690312,0.026987534561764698,0.869296526191441
109,20000_3_0.1,0.053663285691793315,0.99,-0.0,0.0,1.665625370890609,0.11180883673018946,0.8960195624455478
110,20000_3_0.2,0.1059605021669619,0.73,-0.0,0.0,2.004832764329077,0.33953710051992564,0.8223181880498348
111,20000_3_0.30000000000000004,0.15768131542604932,0.56,-0.0,0.0,1.9116386403673993,0.5466522963914583,0.7506130517784525
112,20000_3_0.4,0.2107879220361235,0.48,0.2,0.49,1.6917505979961363,0.6671161779472042,0.6885330554312818
113,20000_3_0.5,0.2706195657114768,0.44,0.42,0.6,1.7104982758733218,0.9643464938918394,0.6226819229497722
114,20000_3_0.6000000000000001,0.3252063507322168,0.39,0.66,0.71,1.7593069724092052,1.3687702526702212,0.5574229113908764
115,20000_3_0.7000000000000001,0.38534021064723856,0.36,0.87,0.8,1.7854252324225182,1.8619569252778412,0.4952483947453777
116,20000_3_0.8,0.4512136404663983,0.33,1.12,0.9,1.894368876470363,2.7977733153240787,0.42549695203237836
117,20000_4_0.0,0.0037637821672055465,0.21,-0.0,0.0,-0.21594935544708938,0.037738359950450405,0.8365875202384286
118,20000_4_0.1,0.04211211523500155,0.53,-0.0,0.0,1.4999440188840965,0.15576272326009297,0.8567840100079864
119,20000_4_0.2,0.08290770162085477,0.51,-0.0,0.0,1.4675877648823654,0.27607382839410427,0.793505387472061
120,20000_4_0.30000000000000004,0.12295407273818394,0.44,-0.0,0.0,1.3398362912435098,0.4078125694830016,0.7208261854445024
121,20000_4_0.4,0.1649085875814357,0.41,0.43,0.63,1.1443234055914824,0.5026410773796045,0.649503739375881
122,20000_4_0.5,0.2105277463798912,0.33,0.6,0.67,1.0571354836590374,0.6242342740885333,0.5842256957979701
123,20000_4_0.6000000000000001,0.2586608789692472,0.34,1.04,0.88,0.9771438358981249,0.780927372094677,0.5120974383246475
124,20000_4_0.7000000000000001,0.30369502829034795,0.29,1.21,0.92,0.9026072244893627,0.8900007902698216,0.4577448431918637
125,20000_4_0.8,0.3604758356519217,0.25,1.48,1.05,0.8745325498896652,1.125295935559302,0.38791114522497566
126,20000_5_0.0,0.004269526318128903,0.19,-0.01,0.0,0.21992601523733196,0.07106422970569101,0.8105827395718267
127,20000_5_0.1,0.03738229966899896,0.29,-0.0,0.0,1.1074401954993296,0.14698836587922537,0.8277934490832003
128,20000_5_0.2,0.06991534781203346,0.29,-0.0,0.0,1.2623789314571392,0.28592629762308674,0.7614861653955478
129,20000_5_0.30000000000000004,0.10377463584344478,0.25,-0.01,0.0,1.1801188095760171,0.41938662044979946,0.6872105485777077
130,20000_5_0.4,0.13973708000008414,0.22,-0.01,0.0,1.0193576521277614,0.49492410354525307,0.6233468860216598
131,20000_5_0.5,0.1749863950824056,0.23,0.57,0.65,0.9055670144792264,0.5677859280492711,0.5657859947812522
132,20000_5_0.6000000000000001,0.21202276043290727,0.21,0.93,0.8,0.8295577393316537,0.6664597645929095,0.5052381613833391
133,20000_5_0.7000000000000001,0.2505147348913054,0.21,1.43,1.02,0.7137277210620528,0.7089750752522967,0.4523956305725632
134,20000_5_0.8,0.29490543065772934,0.19,1.81,1.18,0.6623704374883126,0.8228360165720325,0.39236457031091976
135,20000_6_0.0,0.004382163644849789,0.11,-0.01,0.0,-0.009492356228113912,0.06972446660597255,0.7760769152473336
136,20000_6_0.1,0.03258047090492645,0.23,-0.01,0.0,1.0456804450637291,0.16466860068874725,0.8065943764094968
137,20000_6_0.2,0.060459886717718486,0.24,-0.01,0.0,1.0835522985204957,0.2739193107252455,0.7423762749412447
138,20000_6_0.30000000000000004,0.0905247768505588,0.18,-0.01,0.0,1.0642806288765803,0.4133670949916485,0.6664773600795931
139,20000_6_0.4,0.12070094519851468,0.18,-0.01,0.0,1.0194739039634257,0.5351572135939026,0.604117779560334
140,20000_6_0.5,0.1497506915011723,0.18,0.58,0.65,0.8397086518731011,0.5534759589988435,0.5526620844800396
141,20000_6_0.6000000000000001,0.1789635205627542,0.19,1.11,0.9,0.78000595464631,0.6397133540510517,0.49770492150964973
142,20000_6_0.7000000000000001,0.2129813953373683,0.19,1.68,1.15,0.6917550428379129,0.703556798888506,0.44291318930034285
143,20000_6_0.8,0.24915127506639748,0.18,2.26,1.45,0.6011364546644361,0.7406240411472631,0.39368987727618077
144,20000_7_0.0,0.004980877184079513,0.11,-0.01,0.0,0.05426374494622371,0.08174760225415971,0.759781699797347
145,20000_7_0.1,0.02922290715738664,0.21,-0.01,0.0,0.8763026286972653,0.1616852925244435,0.7887318485833235
146,20000_7_0.2,0.05502548687262032,0.17,-0.01,0.0,1.1664683161369702,0.33653899090767275,0.718366684206504
147,20000_7_0.30000000000000004,0.07926563406721047,0.16,-0.01,0.0,1.0687576863060422,0.44431079089214637,0.6521653067406279
148,20000_7_0.4,0.10538014814898695,0.14,-0.02,0.01,0.918136786103635,0.5112183349819065,0.5896073312377427
149,20000_7_0.5,0.13163815513654287,0.15,0.61,0.67,0.8175129989286531,0.580600980338088,0.5333284505809761
150,20000_7_0.6000000000000001,0.15701090076824092,0.16,1.15,0.9,0.7252076024418596,0.6240551164896593,0.48570412435537336
151,20000_7_0.7000000000000001,0.18388462752146606,0.15,1.73,1.18,0.628224790856948,0.6454196228833485,0.44178903321719365
152,20000_7_0.8,0.21619686633428595,0.15,2.5,1.58,0.5667094360367558,0.7062953813876759,0.3906877409703855
153,20000_8_0.0,0.005331767752252774,0.11,-0.02,0.01,0.14029734279960554,0.09769957158173405,0.7455983921927168
154,20000_8_0.1,0.027350336397022425,0.14,-0.01,0.0,0.8390096488871918,0.1831049502901464,0.763188998977891
155,20000_8_0.2,0.05006752158874943,0.14,-0.01,0.0,1.0215232827036418,0.3352371193221746,0.6942096036623351
156,20000_8_0.30000000000000004,0.07178677151962028,0.15,-0.01,0.0,0.9823478926735543,0.4358833747662533,0.6382391619011958
157,20000_8_0.4,0.09487119112667025,0.13,-0.01,0.0,0.899804930149996,0.5285678634339822,0.576919572350955
